Nutrient,Min_Val,Max_Val,Min_Val_Risks,Max_Val_Risks
Phytic Acid Variant 189,73.58,345.8,Hormonal imbalance,Gastro issues
Protein Variant 190,36.82,253.58,Muscle weakness,Liver strain
Cocoa Powder Variant 191,169.29,234.27,Low immunity,Diabetes
Lecithin Variant 192,89.35,369.65,Anemia,Diabetes
Malic Acid Variant 193,130.94,223.05,Anemia,Obesity
Vitamin B2 (Riboflavin) Variant 194,128.78,186.75,Anemia,Nerve damage
Folic Acid Variant 195,141.8,198.82,Muscle weakness,Toxicity
Mannitol Variant 196,47.2,143.43,Low immunity,Obesity
Vitamin A Variant 197,54.36,199.12,Vision issues,Diabetes
Vitamin B6 Variant 198,39.42,136.61,Poor growth,Gastro issues
Canola Oil Variant 199,138.54,392.22,Low immunity,Toxicity
Calcium Propionate Variant 200,125.21,198.48,Poor digestion,Diabetes
Xanthan Gum Variant 201,43.97,177.76,Fatigue,Diabetes
Milk Powder Variant 202,154.63,334.5,Bone weakness,Stroke
Copper Variant 203,134.25,173.65,Fatigue,Kidney damage
Peanuts Variant 204,57.49,128.47,Fatigue,Heart disease
Caseinate Variant 205,158.81,386.81,Memory problems,Nerve damage
Aspartame Variant 206,13.76,98.99,Low immunity,Nerve damage
Iron Variant 207,132.26,386.9,Fatigue,Stroke
Malic Acid Variant 208,58.98,247.41,Poor digestion,Diabetes
Iron Variant 209,132.44,398.88,Fatigue,Liver strain
Caffeine Variant 210,171.74,427.84,Vision issues,Heart disease
Gluten Variant 211,123.21,413.56,Poor growth,Heart disease
Olive Oil Variant 212,10.82,197.07,Vision issues,Liver strain
Whey Protein Variant 213,155.64,340.58,Muscle weakness,Heart disease
Iodine Variant 214,108.58,216.02,Bone weakness,Heart disease
Vitamin B3 (Niacin) Variant 215,143.26,329.43,Muscle weakness,Hypertension
BHA (Butylated Hydroxyanisole) Variant 216,99.3,114.78,Anemia,Diabetes
Magnesium Variant 217,45.65,260.25,Poor growth,Stroke
Phosphorus Variant 218,17.12,133.39,Anemia,Hypertension
Vitamin B6 Variant 219,188.95,251.38,Poor digestion,Hypertension
Probiotics Variant 220,139.62,431.16,Low immunity,Hypertension
Aspartame Variant 221,96.14,263.54,Muscle weakness,Nerve damage
Corn Syrup Variant 222,67.47,98.87,Anemia,Diabetes
Sodium Nitrate Variant 223,157.82,408.93,Memory problems,Heart disease
Propyl Gallate Variant 224,139.69,435.7,Low immunity,Stroke
Textured Vegetable Protein Variant 225,185.27,208.4,Vision issues,Nerve damage
Sodium Sorbate Variant 226,47.88,245.26,Bone weakness,Diabetes
Manganese Variant 227,115.99,322.91,Vision issues,Toxicity
Vitamin C Variant 228,68.17,217.1,Poor digestion,Hypertension
Trans Fat Variant 229,104.38,314.06,Low immunity,Diabetes
BHT (Butylated Hydroxytoluene) Variant 230,80.54,221.11,Vision issues,Toxicity
Calcium Propionate Variant 231,18.19,269.77,Poor growth,Heart disease
Artificial Strawberry Flavor Variant 232,164.23,371.65,Muscle weakness,Liver strain
Taurine Variant 233,51.86,130.37,Muscle weakness,Obesity
Almonds Variant 234,90.17,276.98,Poor digestion,Toxicity
Beta-Carotene Variant 235,54.29,254.25,Anemia,Obesity
Fat (Total) Variant 236,25.34,302.1,Fatigue,Gastro issues
Spirulina Variant 237,32.68,66.24,Memory problems,Hypertension
Trans Fat Variant 238,83.26,343,Anemia,Toxicity
Coconut Oil Variant 239,45.46,251.49,Poor growth,Hypertension
Manganese Variant 240,20.2,290.01,Poor growth,Obesity
Sugar Variant 241,119.91,195.92,Memory problems,Stroke
Yeast Extract Variant 242,141.74,393.13,Bone weakness,Stroke
Selenium Variant 243,26.04,244.81,Hormonal imbalance,Kidney damage
Paprika Extract Variant 244,78.46,333.73,Bone weakness,Heart disease
Calcium Variant 245,65.34,151.77,Vision issues,Obesity
Calcium Variant 246,111.94,213.64,Memory problems,Hypertension
Sugar Variant 247,111.25,316.63,Fatigue,Heart disease
Trans Fat Variant 248,174.36,232.67,Muscle weakness,Hypertension
Gelatin Variant 249,178.88,356.88,Memory problems,Obesity
Potassium Variant 250,178.82,437.62,Memory problems,Stroke
Vitamin K Variant 251,13.98,36.92,Low immunity,Hypertension
Carrageenan Variant 252,79.63,190.12,Vision issues,Obesity
Hydrolyzed Vegetable Protein Variant 253,192.17,476.88,Poor digestion,Heart disease
Chromium Variant 254,71.72,92.68,Vision issues,Diabetes
Unsaturated Fat Variant 255,104.97,186.66,Memory problems,Obesity
Acetic Acid Variant 256,74.3,184.94,Fatigue,Liver strain
Vitamin B2 Variant 257,176.18,204.63,Hormonal imbalance,Hypertension
Phosphorus Variant 258,6.35,264.22,Hormonal imbalance,Liver strain
Acetic Acid Variant 259,116.88,269.96,Bone weakness,Diabetes
Vitamin D Variant 260,26.07,129.76,Memory problems,Gastro issues
Artificial Vanilla Flavor Variant 261,70,262.24,Muscle weakness,Gastro issues
Lactose Variant 262,159.15,433.04,Fatigue,Kidney damage
Vitamin B12 Variant 263,2.12,208.42,Bone weakness,Kidney damage
Potassium Sorbate Variant 264,36.15,165.95,Hormonal imbalance,Toxicity
Cholesterol Variant 265,81.14,360.01,Muscle weakness,Diabetes
Selenium Variant 266,153.06,415.24,Bone weakness,Diabetes
Antioxidants Variant 267,158.06,248.68,Low immunity,Kidney damage
Sodium Nitrite Variant 268,111.1,311.36,Anemia,Nerve damage
Taurine Variant 269,30.84,200.55,Poor growth,Heart disease
Canola Oil Variant 270,46.68,226.79,Poor growth,Hypertension
Probiotics Variant 271,146.16,381.29,Hormonal imbalance,Heart disease
Calcium Variant 272,163.87,458.2,Poor growth,Gastro issues
Artificial Strawberry Flavor Variant 273,175.98,254.97,Low immunity,Nerve damage
Antioxidants Variant 274,6.51,192.19,Muscle weakness,Gastro issues
High Fructose Corn Syrup Variant 275,148.74,317.53,Fatigue,Stroke
Corn Syrup Variant 276,167.95,405.76,Low immunity,Obesity
Casein Variant 277,35.43,248.64,Bone weakness,Stroke
Magnesium Variant 278,35.61,80.79,Fatigue,Diabetes
Vitamin C Variant 279,170.62,242.01,Poor digestion,Kidney damage
Cholesterol Variant 280,195.11,414.02,Memory problems,Heart disease
Casein Variant 281,58.17,233.13,Vision issues,Liver strain
Vitamin B1 (Thiamine) Variant 282,113.64,374.07,Hormonal imbalance,Nerve damage
Omega-6 Fatty Acids Variant 283,140.99,224.44,Anemia,Stroke
Lecithin Variant 284,1.93,279.96,Vision issues,Liver strain
Coconut Oil Variant 285,55.18,269.55,Memory problems,Hypertension
Aspartame Variant 286,46.31,164.83,Memory problems,Obesity
Sodium Nitrate Variant 287,122.88,407.07,Low immunity,Heart disease
Canola Oil Variant 288,95.05,223.78,Bone weakness,Obesity
Vitamin D Variant 289,45.23,63.14,Poor growth,Liver strain
Gluten Variant 290,90.09,316.24,Memory problems,Stroke
Soy Protein Variant 291,131.98,366.94,Low immunity,Gastro issues
Fat (Total) Variant 292,97.83,375.26,Vision issues,Liver strain
Vitamin B3 Variant 293,68,119.24,Poor digestion,Liver strain
Vitamin E Variant 294,114.68,334.34,Bone weakness,Nerve damage
Copper Variant 295,78.49,314.78,Memory problems,Hypertension
Vitamin K Variant 296,171.54,304.84,Vision issues,Hypertension
Manganese Variant 297,52.86,92.56,Memory problems,Obesity
Vitamin A Variant 298,143.33,347.39,Poor growth,Nerve damage
Fiber Variant 299,123.71,380.03,Memory problems,Hypertension
Beta-Carotene Variant 300,28.46,113.89,Low immunity,Obesity
Vitamin B2 (Riboflavin) Variant 301,33.57,127.35,Memory problems,Nerve damage
Vitamin C Variant 302,12.4,151.46,Vision issues,Stroke
Yeast Extract Variant 303,115.14,137.08,Muscle weakness,Toxicity
Yeast Extract Variant 304,109.51,401.47,Fatigue,Gastro issues
Sugar Variant 305,62.87,120.75,Poor growth,Hypertension
Mannitol Variant 306,164.53,428.7,Hormonal imbalance,Diabetes
Caseinate Variant 307,16.97,148.81,Poor digestion,Nerve damage
Iodine Variant 308,110.19,279.64,Low immunity,Toxicity
Selenium Variant 309,35.14,290.4,Low immunity,Diabetes
Vitamin C Variant 310,127.28,369.01,Anemia,Kidney damage
Vitamin B6 Variant 311,11.64,105.08,Bone weakness,Liver strain
Aspartame Variant 312,86.14,114.34,Hormonal imbalance,Hypertension
Fluoride Variant 313,168.96,189.02,Low immunity,Heart disease
Magnesium Variant 314,133.01,219.95,Memory problems,Stroke
Selenium Variant 315,50.95,175.61,Fatigue,Stroke
Preservatives (Sodium Benzoate) Variant 316,48.92,336.91,Poor growth,Diabetes
Caseinate Variant 317,141.16,253.01,Poor digestion,Obesity
Copper Variant 318,187.89,386.82,Hormonal imbalance,Gastro issues
High Fructose Corn Syrup Variant 319,184.43,230.03,Memory problems,Diabetes
Mannitol Variant 320,132.79,356.95,Hormonal imbalance,Diabetes
Copper Variant 321,120.94,383.43,Poor digestion,Kidney damage
Artificial Vanilla Flavor Variant 322,11.05,155.32,Vision issues,Stroke
Manganese Variant 323,24.18,55.19,Poor growth,Obesity
Pectin Variant 324,152.3,178.23,Hormonal imbalance,Obesity
MSG (Monosodium Glutamate) Variant 325,103.58,134.07,Memory problems,Hypertension
Canola Oil Variant 326,148.39,332.1,Poor digestion,Nerve damage
Peanuts Variant 327,27.37,177.68,Anemia,Gastro issues
Calcium Propionate Variant 328,91.57,343.49,Bone weakness,Gastro issues
Aspartame Variant 329,117.57,276.11,Muscle weakness,Obesity
Phosphorus Variant 330,173.04,368.27,Hormonal imbalance,Toxicity
Vitamin C Variant 331,8.99,230.11,Memory problems,Kidney damage
Cholesterol Variant 332,197.73,456.81,Muscle weakness,Heart disease
Erythritol Variant 333,64.42,199.98,Memory problems,Heart disease
Zinc Variant 334,84.85,125.02,Poor digestion,Liver strain
Citric Acid Variant 335,58.38,293.64,Poor digestion,Gastro issues
Lecithin Variant 336,128.7,416.99,Memory problems,Heart disease
Pectin Variant 337,31.46,304.45,Low immunity,Nerve damage
Peanuts Variant 338,175.16,367.5,Poor growth,Kidney damage
Vitamin B3 (Niacin) Variant 339,68.95,274.72,Memory problems,Diabetes
Gluten Variant 340,108.6,373.74,Poor digestion,Toxicity
Sodium Nitrate Variant 341,173.55,361.64,Hormonal imbalance,Diabetes
Magnesium Variant 342,95.74,305,Fatigue,Liver strain
Whey Protein Variant 343,182.95,449.43,Poor digestion,Heart disease
Canola Oil Variant 344,129.9,357.05,Low immunity,Kidney damage
BHT (Butylated Hydroxytoluene) Variant 345,129.79,396.8,Low immunity,Kidney damage
TBHQ (Tertiary Butylhydroquinone) Variant 346,98.67,286.68,Fatigue,Obesity
Salt (Sodium) Variant 347,12.95,146.16,Vision issues,Liver strain
Vitamin C Variant 348,195.77,396.19,Memory problems,Nerve damage
Acetic Acid Variant 349,168.45,398.28,Muscle weakness,Heart disease
Beta-Carotene Variant 350,100.82,275.71,Memory problems,Kidney damage
Iron Variant 351,146.65,229.69,Vision issues,Toxicity
Potassium Variant 352,40.44,197.14,Poor digestion,Kidney damage
Lecithin Variant 353,157.73,292.19,Muscle weakness,Heart disease
Textured Vegetable Protein Variant 354,150.95,361.07,Low immunity,Kidney damage
Calcium Variant 355,123.03,372.95,Memory problems,Obesity
Caramel Color Variant 356,99.17,368.09,Muscle weakness,Hypertension
Magnesium Variant 357,165.09,416.94,Vision issues,Hypertension
Artificial Vanilla Flavor Variant 358,105.12,216.43,Poor growth,Liver strain
Hydrolyzed Vegetable Protein Variant 359,91.45,105.68,Anemia,Hypertension
TBHQ (Tertiary Butylhydroquinone) Variant 360,4.47,282.63,Poor growth,Obesity
Manganese Variant 361,108.75,267.9,Fatigue,Diabetes
Sodium Sorbate Variant 362,16.27,198.99,Hormonal imbalance,Gastro issues
Coconut Oil Variant 363,122.75,147.62,Memory problems,Nerve damage
Caffeine Variant 364,151.83,247.8,Bone weakness,Liver strain
Vitamin C Variant 365,183.97,201.64,Vision issues,Nerve damage
Gluten Variant 366,153.3,178.63,Poor digestion,Toxicity
TBHQ (Tertiary Butylhydroquinone) Variant 367,112.02,244.49,Poor growth,Kidney damage
Gluten Variant 368,58.92,178.08,Bone weakness,Stroke
Carbohydrates Variant 369,199.9,419.05,Fatigue,Stroke
Spirulina Variant 370,30.89,304.64,Muscle weakness,Hypertension
Sodium Nitrite Variant 371,45.36,66.68,Memory problems,Liver strain
Lactose Variant 372,52.82,105.19,Poor growth,Nerve damage
Rice Flour Variant 373,147.67,253.6,Memory problems,Gastro issues
BHA (Butylated Hydroxyanisole) Variant 374,60.58,201.8,Vision issues,Gastro issues
Yeast Extract Variant 375,86.74,385.24,Muscle weakness,Toxicity
Artificial Vanilla Flavor Variant 376,108.85,406.76,Muscle weakness,Hypertension
Phytic Acid Variant 377,184.9,394.52,Bone weakness,Obesity
Phosphorus Variant 378,107.8,182.5,Bone weakness,Gastro issues
Magnesium Variant 379,111.77,333.91,Hormonal imbalance,Nerve damage
MSG (Monosodium Glutamate) Variant 380,17,216.74,Hormonal imbalance,Nerve damage
Beetroot Powder Variant 381,54.97,160.65,Bone weakness,Stroke
Spirulina Variant 382,156.71,334.13,Hormonal imbalance,Gastro issues
Beetroot Powder Variant 383,182.03,371.48,Vision issues,Stroke
Protein Variant 384,27.74,76.78,Muscle weakness,Toxicity
Iodine Variant 385,165.98,240.65,Fatigue,Nerve damage
Vitamin A Variant 386,95.32,196.99,Bone weakness,Liver strain
Antioxidants Variant 387,46.31,184.34,Muscle weakness,Heart disease
Copper Variant 388,139.5,355.1,Low immunity,Stroke
Vitamin D Variant 389,41.97,103.4,Vision issues,Toxicity
Artificial Chocolate Flavor Variant 390,39.81,83.6,Memory problems,Obesity
Saturated Fat Variant 391,69.76,146.87,Low immunity,Liver strain
Vitamin C Variant 392,190.31,261.63,Anemia,Heart disease
Sodium Sorbate Variant 393,186.51,426.63,Poor digestion,Toxicity
Vitamin B3 Variant 394,11.36,199.24,Memory problems,Nerve damage
Gluten Variant 395,186.25,328.47,Bone weakness,Nerve damage
Selenium Variant 396,87.58,196.5,Muscle weakness,Heart disease
Citric Acid Variant 397,78.88,120.56,Poor growth,Toxicity
Tartaric Acid Variant 398,180.27,317.03,Fatigue,Kidney damage
Vitamin D Variant 399,115.7,141.35,Muscle weakness,Heart disease
Fat (Total) Variant 400,153.62,188.64,Fatigue,Liver strain
Chlorella Variant 401,156.03,390.69,Poor digestion,Stroke
Sodium Nitrate Variant 402,185.77,224.08,Muscle weakness,Heart disease
Trans Fat Variant 403,62.1,218.62,Poor digestion,Gastro issues
Textured Vegetable Protein Variant 404,3.92,287.27,Vision issues,Liver strain
Magnesium Variant 405,60.08,91.41,Vision issues,Hypertension
Tartaric Acid Variant 406,82.62,233.93,Poor growth,Nerve damage
Cocoa Powder Variant 407,4.97,227.98,Memory problems,Nerve damage
Potassium Variant 408,110.4,351.76,Fatigue,Heart disease
Textured Vegetable Protein Variant 409,92.29,272.19,Fatigue,Toxicity
Magnesium Variant 410,158.52,399.89,Memory problems,Kidney damage
Milk Powder Variant 411,101.36,134.46,Memory problems,Toxicity
Hydrolyzed Vegetable Protein Variant 412,144.24,275.17,Memory problems,Obesity
Omega-3 Fatty Acids Variant 413,175.26,316.44,Muscle weakness,Gastro issues
